2023-07-31 10:29:24,220 | WARNING | nextcord.client |  PyNaCl is not installed, voice will NOT be supported
2023-07-31 10:29:24,224 | DEBUG | nextcord.client |  on_ready has successfully been registered as an event
2023-07-31 10:29:24,224 | INFO | nextcord.client |  logging in using static token
2023-07-31 10:29:24,512 | DEBUG | nextcord.http |  GET https://discord.com/api/v10/users/@me with None has returned 200
2023-07-31 10:29:24,512 | DEBUG | nextcord.http |  GET https://discord.com/api/v10/users/@me has received {'id': '608266907476426762', 'username': 'bmil', 'avatar': '567fda2a6d33bda16602ee4a33680a74', 'discriminator': '9300', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration': None, 'banner_color': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
2023-07-31 10:29:24,568 | DEBUG | nextcord.http |  GET https://discord.com/api/v10/gateway with None has returned 200
2023-07-31 10:29:24,569 | DEBUG | nextcord.http |  GET https://discord.com/api/v10/gateway has received {'url': 'wss://gateway.discord.gg'}
2023-07-31 10:29:24,759 | DEBUG | nextcord.gateway |  Created websocket connected to wss://gateway.discord.gg?encoding=json&v=10&compress=zlib-stream
2023-07-31 10:29:24,759 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {"t":null,"s":null,"op":10,"d":{"heartbeat_interval":41250,"_trace":["[\"gateway-prd-us-east1-c-1qkc\",{\"micros\":0.0}]"]}}
2023-07-31 10:29:24,760 | INFO | nextcord.gateway |  Shard ID None has sent the IDENTIFY payload.
2023-07-31 10:29:24,873 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {"t":null,"s":null,"op":11,"d":null}
